Opponent,Margin,FG%,3FGA,3FG%,FT%,Opp FG%,Opp 3PA,3PA Mar,OFF,DEF,TOT,OFF %,DEF %,Reb % :,PF,Opp PF,PF Mar,AST,TO,A:TO,Opp TO,TO Mar,BLK,STL,PTS,Poss.
Dickinson,10.9,0.463,19.5,0.383,0.786,0.418,20.8,-1.3,12.1,28,40.1,0.38,0.80,1.18,18.8,22.6,-3.8,12.4,16.4,0.76,12.8,-3.7,3.8,5.3,77.9,81.4
F&M,-2.8,0.437,17.0,0.301,0.743,0.454,13.4,3.6,11.5,22.6,34.1,0.36,0.72,1.08,19.8,19.2,0.6,10.5,15.8,0.70,12.5,-3.4,4.2,4.7,65.5,76.4
Gettysburg,14.9,0.473,23.3,0.402,0.768,0.407,23.1,0.2,10.9,28.1,39,0.33,0.78,1.12,14.4,15.9,-1.5,13.8,10.4,1.47,11.7,1.3,3.9,5.2,77.9,76.6
Haverford,14.1,0.452,21.3,0.338,0.708,0.391,20.9,0.4,13.4,30.7,44.1,0.37,0.79,1.17,15.8,18.9,-3.1,13.5,13.8,1.05,13.1,-0.7,4.8,5.9,76.3,83.6
Hopkins,2.9,0.450,19.7,0.328,0.664,0.415,23.3,-3.6,9.8,26.7,36.5,0.29,0.76,1.05,16.7,18.8,-2.1,11.3,12.8,0.97,11.0,-1.8,4.2,4.8,67.8,74.1
McDaniel,17.7,0.498,23.2,0.418,0.741,0.389,17.6,5.6,10.0,24.8,34.8,0.34,0.72,1.06,14.8,14.8,0,15.3,11.8,1.37,10.4,-1.4,5.1,5.0,72.9,70.0
Muhlenburg,15.5,0.472,23.7,0.397,0.779,0.391,23.9,-0.2,11.5,29.2,40.7,0.35,0.81,1.15,17.1,16.0,1.1,17.2,13.8,1.39,12.1,-1.7,4.0,5.5,79.8,81.5
Ursinus,9.9,0.452,26.2,0.357,0.726,0.400,19.2,7.0,11.0,28.5,39.5,0.31,0.78,1.08,19.5,17.5,2.0,15.2,10.8,1.60,10.5,-0.3,5.3,4.5,77.2,81.0
Washington,18.9,0.498,20.4,0.337,0.759,0.360,20.3,0.1,10.7,30.4,41.1,0.36,0.78,1.14,18.6,19.0,-0.4,15.8,15.7,1.01,12.7,-3.0,5.1,5.5,77.8,79.7
Non-Conf,12.4,0.480,24.2,0.384,0.698,0.386,22.0,2.2,11.8,31.0,42.8,0.33,0.76,1.09,19.2,19.0,0.2,16.2,14.8,1.19,12.0,-2.7,5.9,4.5,82.1,85.7
,,,,,,,,,,,,,,,,,,,,,,,,,,
Away,11.0,0.470,29.0,0.365,0.716,0.399,20.7,1.6,11.2,28.6,39.9,0.33,0.76,1.09,19.0,19.1,-0.1,14.3,14.1,1.14,12.1,-2.0,4.8,5.2,77.7,81.0
Home,12.8,0.471,29.3,0.373,0.733,0.392,21.0,1.9,11.7,29.0,40.7,0.35,0.78,1.13,17.2,17.8,-0.6,15.2,13.7,1.23,11.6,-2.1,5.0,4.8,77.2,80.8
