Game,Date,Score,Result,Margin,FGM/A,FG%,3FGM/A,3FGA,3FG%,FTM/A,FT%,Opp FG%,Opp 3PA,3PA Mar,OFF,DEF,TOT,OFF %,DEF %,Reb % :,PF,Opp PF,PF Mar,AST,TO,A:TO,Opp TO,TO Mar,BLK,STL,PTS,Poss.
vs?Dickinson,1/14/2016,82-68,W,14,26-54,0.481,5-13,13,0.385,25-27,0.926,0.368,30,-17,10,35,45,0.36,0.76,1.12,21,25,-4,14,19,0.74,10,-9,3,4,82,86
at?Dickinson,2/13/2016,66-75,L,-9,23-59,0.39,7-23,23,0.304,13-16,0.813,0.49,19,4,16,23,39,0.42,0.72,1.14,23,21,2,5,18,0.28,15,-3,0,4,66,82
vs?Dickinson,2/26/2016,77-73,W,4,22-57,0.386,6-21,21,0.286,27-33,0.818,0.434,19,2,8,27,35,0.22,0.84,1.06,21,27,-6,8,9,0.89,15,6,3,7,77,82
vs?Dickinson,12/3/2016,72-65,W (OT),7,25-58,0.431,3-10,10,0.3,19-28,0.679,0.403,26,-16,17,30,47,0.53,0.79,1.32,17,25,-8,7,23,0.30,15,-8,5,7,72,93*
at?Dickinson,1/21/2017,66-53,W,13,21-49,0.429,5-22,22,0.227,19-20,0.95,0.34,14,8,9,32,41,0.35,0.89,1.24,23,18,5,10,19,0.53,10,-9,2,3,66,74
vs?Dickinson,2/25/2017,68-64,W,4,23-42,0.548,12-20,20,0.6,10-18,0.556,0.446,22,-2,5,24,29,0.23,0.75,0.98,13,17,-4,16,20,0.80,12,-8,6,5,68,70
at?Dickinson,12/2/2017,78-66,W,12,31-53,0.585,6-13,13,0.462,10-14,0.714,0.389,23,-10,10,30,40,0.40,0.83,1.23,19,19,0,15,20,0.75,13,-7,3,8,78,81
vs?Dickinson,1/20/2018,82-74,W,8,23-50,0.46,7-19,19,0.368,29-33,0.879,0.472,16,3,13,24,37,0.43,0.83,1.26,15,27,-12,11,13,0.85,7,-6,6,2,82,78
vs?Dickinson,1/10/2019,67-53,W,14,25-54,0.463,8-18,18,0.444,9-12,0.75,0.346,15,3,11,28,39,0.35,0.74,1.09,22,18,4,15,19,0.79,15,-4,6,5,67,78
at?Dickinson,2/9/2019,100-82,W,18,31-64,0.484,14-30,30,0.467,24-31,0.774,0.464,23,7,11,23,34,0.31,0.70,1.01,20,23,-3,14,10,1.40,14,4,5,3,100,83
