,S1,O1,S2,O2,S3,O3,S4,O4,S5,O5,S6,O6,S7,O7,S8,O8,S9,O9,S10,O10,S,O,S,O
Hood,6,5,14,6,7,6,16,2,9,11,15,11,9,7,17,14,12,12,6,15,,,,
AM,13,9,8,2,9,8,3,18,11,11,3,8,12,6,15,2,4,4,17,17,,,,
Washington,6,11,13,10,4,7,4,3,11,2,9,8,6,6,7,4,8,10,11,9,,,,
Misericordia,5,7,4,2,5,8,7,7,12,9,11,10,12,6,16,11,11,8,10,7,,,,
Muhlenberg,12,3,5,2,5,2,5,0,12,7,10,21,5,4,6,6,12,10,9,14,,,,
Dickinson,8,0,12,5,5,10,5,8,4,2,6,6,8,4,10,10,9,9,11,12,,,,
Ursinus,3,7,12,8,5,11,8,4,5,3,9,4,4,7,4,2,5,7,12,7,,,,
Del Vall,4,4,9,4,5,6,9,16,11,8,9,5,4,6,5,6,5,2,14,4,,,,
York,7,11,11,4,10,8,5,9,5,5,5,9,9,3,3,10,8,10,16,14,,,,
Framingham,11,0,9,2,13,6,4,8,4,5,17,5,6,0,3,7,8,7,5,8,,,,
Middlebury,9,8,7,6,5,0,16,7,10,11,11,12,5,7,7,9,10,8,11,7,,,,
Gettysburg,2,2,2,7,9,4,9,2,5,7,11,11,6,6,9,2,4,9,12,11,,,,
McDaniel,10,0,6,2,6,0,4,6,13,6,5,4,6,6,12,6,10,7,8,12,,,,
Hopkins,4,2,5,4,11,8,11,5,5,7,7,7,8,9,6,9,8,3,14,16,,,,
F&M,4,3,0,5,10,10,10,13,4,3,10,7,4,14,9,7,6,3,11,9,,,,
Haverford,5,2,9,7,2,5,10,2,7,15,9,3,5,2,4,5,2,5,2,9,10,5,,
Dickinson,8,8,5,5,12,10,9,12,8,4,5,4,8,3,5,9,9,11,13,8,,,,
Washington,7,2,7,2,6,2,7,4,7,7,8,5,7,10,4,4,6,5,3,6,,,,
Gettysburg,8,6,4,9,4,4,5,2,6,5,8,7,11,3,11,9,8,10,13,7,,,,
Muhlenberg,5,7,12,7,11,16,7,6,10,5,6,8,7,6,6,10,6,8,13,10,5,8,,
McDaniel,8,11,2,3,5,2,6,11,10,2,6,6,4,5,2,5,10,3,7,6,,,,
Ursinus,17,9,13,5,10,8,4,6,8,2,6,3,7,4,6,6,5,14,8,5,,,,
Hopkins,2,4,6,2,4,9,8,10,4,8,8,6,4,7,8,5,11,8,11,7,12,12,13,15
Haverford,7,10,7,4,6,0,6,12,8,3,12,11,13,12,6,5,11,7,5,5,,,,
F&M,2,9,6,6,6,6,7,3,7,7,5,2,6,3,7,8,5,5,7,7,,,,
Ursinus,2,2,10,4,4,5,10,8,11,5,4,5,5,3,2,7,11,2,11,8,,,,
Hopkins,7,8,5,6,7,5,8,0,7,6,5,7,0,9,6,8,4,4,8,9,,,,
New Enlgand,8,8,14,5,7,0,12,1,7,7,2,6,11,13,11,7,11,12,7,4,,,,
Wesleyan,10,7,6,8,15,5,8,8,13,4,8,9,3,14,13,6,10,6,9,8,,,,
Plattsburgh,11,5,7,0,8,6,5,8,10,8,9,6,9,7,15,9,14,12,5,2,,,,
Springfield,4,3,7,9,9,7,11,7,9,7,2,9,2,5,6,4,5,10,7,13,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Total,215,173,237,151,225,184,239,208,253,192,241,225,206,197,241,212,248,231,296,276,27,25,13,15
Median,7,6,7,5,6,6,7,7,8,6,8,7,6,6,6,7,8,8,10,8,10,8,13,15
Mean,6.935483871,5.580645161,7.64516129,4.870967742,7.258064516,5.935483871,7.709677419,6.709677419,8.161290323,6.193548387,7.774193548,7.258064516,6.64516129,6.35483871,7.774193548,6.838709677,8,7.451612903,9.548387097,8.903225806,9,8.3,13,15
,,,,,,,,,,,,,,,,,,,,,,,,
Rounds,16,10,22,7,19,9,16,13,19,7,17,10,16,12,15,12,16,11,18,10,1,1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,
,Overall: 175-103-36,,,,,,,,,,,,,,,*Updated 3/12/18,,,,,,,,
