,S1,O1,S2,O2,S3,O3,S4,O4,S5,O5,S6,O6,S7,O7,S8,O8,S9,O9,S10,O10
Cabrini,7,5,3,10,13,7,9,7,5,4,8,10,13,12,15,11,14,16,8,6
TCNJ,8,2,11,5,8,9,4,9,5,8,7,7,5,8,10,8,9,7,15,2
Del Valley,7,2,6,4,9,8,8,4,7,6,10,9,12,8,9,3,8,0,12,11
Washington,9,5,7,6,6,2,4,7,9,5,11,4,8,2,8,9,11,1,10,10
Arcadia,8,4,7,4,10,13,10,6,11,9,0,3,11,10,6,10,9,7,10,11
Johns Hopkins,2,5,12,7,12,0,2,12,9,6,4,2,0,5,5,6,7,8,6,8
F&M,2,6,2,0,8,6,2,6,7,2,4,0,6,6,5,4,5,9,10,14
Ursinus,11,4,5,7,5,0,0,8,3,6,4,2,8,4,8,7,8,8,9,7
Muhlenberg,11,4,10,9,5,8,10,2,12,4,6,9,7,10,9,5,9,9,4,5
York,12,8,10,10,8,5,11,2,5,4,10,6,5,10,13,9,11,5,8,9
Middlebury,6,5,7,12,14,4,8,6,4,6,4,4,9,14,5,6,8,14,17,9
Stockton,3,7,6,3,4,10,9,5,11,6,11,3,9,4,2,10,14,2,4,12
Eastern,10,7,13,8,8,2,4,6,11,2,11,10,9,10,4,10,4,4,9,11
Gettysburg,6,2,7,8,7,6,9,7,6,6,7,0,11,4,9,4,11,8,6,4
Dickinson,5,4,7,7,2,4,8,5,12,6,9,7,5,2,7,3,10,6,2,9
McDaniel,12,7,5,8,8,4,18,4,11,0,6,6,7,2,3,2,4,11,4,9
Muhlenberg,11,2,14,0,10,4,9,6,7,6,9,7,7,7,9,2,6,5,2,15
Ursinus,13,12,7,8,4,5,6,8,12,4,3,13,7,5,13,13,6,9,17,17
Haverford,7,7,7,4,2,4,6,6,7,6,6,5,4,4,11,8,6,13,8,5
F&M,6,4,8,5,4,10,4,7,9,6,5,9,7,5,8,4,10,5,10,7
Washington,9,6,6,4,13,5,6,4,15,4,14,7,3,8,11,8,2,7,5,8
Gettysburg,16,0,6,6,11,2,12,6,12,13,11,4,10,4,6,10,9,8,6,7
Johns Hopkins,8,5,8,2,10,2,8,8,8,7,8,2,7,8,0,8,8,7,8,6
Dickinson,5,5,9,5,13,1,8,9,11,9,10,12,10,7,8,12,10,11,16,11
Haverford,12,6,3,10,4,7,6,0,15,6,10,8,5,7,14,3,7,5,3,5
McDaniel,9,8,6,5,9,2,12,7,7,9,7,3,9,9,7,7,6,7,5,2
Washington,11,2,9,5,2,10,9,2,4,2,10,10,6,6,8,2,9,9,9,11
Johns Hopkins,13,5,6,9,12,7,2,3,13,2,5,3,2,7,8,11,7,7,11,7
Mitchell,11,7,12,14,2,4,9,5,11,6,10,4,5,8,10,9,9,8,9,8
MIT,15,4,13,10,14,10,9,12,15,7,7,6,13,1,8,4,3,4,6,7
Randolph-Macon,9,10,3,9,3,9,12,8,6,5,6,2,8,4,2,7,2,0,7,3
Nichols,8,4,5,0,6,5,10,3,3,11,9,6,7,8,8,9,5,10,8,9
CNU,6,3,12,4,2,6,8,10,8,6,2,7,9,7,5,3,8,8,10,9
UW Oshkosh,4,13,5,6,9,14,12,2,7,10,7,12,6,6,14,9,9,6,9,16
Total,292,180,257,214,257,195,264,202,298,199,251,202,250,222,268,236,264,244,283,290
Median,9,5,7,6,8,5,8,6,9,6,7,6,7,7,8,8,8,7,8,9
Mean,8.588235294,5.294117647,7.558823529,6.294117647,7.558823529,5.735294118,7.764705882,5.941176471,8.764705882,5.852941176,7.382352941,5.941176471,7.352941176,6.529411765,7.882352941,6.941176471,7.764705882,7.176470588,8.323529412,8.529411765
,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,
Rounds,27,5,20,11,20,14,20,12,26,7,22,8,16,12,20,12,16,12,15,17
,,,,,,,,,,,,,,,,,,,,
,Overall: 202-110-28 (.594),,,,,,,,,,,,,,,*Updated 3/17/19,,,,
